Census Tract,Community,Total Count
1,San Diego,0
2.01,San Diego,1
2.02,San Diego,4
3,San Diego,16.03
4,San Diego,27.03
5,San Diego,4.03
6,San Diego,53.09
7,San Diego,8.03
8,San Diego,0
9,San Diego,0
10,San Diego,6
11,San Diego,1
12,San Diego,6.03
13,San Diego,24.5
14,San Diego,12.75
15,San Diego,5
16,San Diego,17.06
17,San Diego,0
18,San Diego,5
19,San Diego,0
20.01,San Diego,0
20.02,San Diego,0
21,San Diego,0
22.01,San Diego,13.84
22.02,San Diego,33.56
23.01,San Diego,1
23.02,San Diego,41.31
24.01,San Diego,10.06
24.02,San Diego,7
25.01,San Diego,11
25.02,San Diego,31.5
26.01,San Diego,25.56
26.02,San Diego,10.03
27.02,San Diego,6.06
27.03,San Diego,13.15
27.05,San Diego,25.06
27.07,San Diego,3.75
27.08,San Diego,4.5
27.09,San Diego,1
27.1,San Diego,1
27.11,San Diego,2.03
27.12,San Diego,3
28.01,San Diego,1.75
28.03,San Diego,0
28.04,San Diego,3
29.02,San Diego,7.03
29.03,San Diego,1
29.04,San Diego,4
29.05,San Diego,3.75
30.01,San Diego,0
30.03,San Diego,1
30.04,San Diego,0
31.01,San Diego,0
31.03,San Diego,3.75
31.05,San Diego,2.75
31.07,San Diego,8.53
31.08,San Diego,0
31.09,San Diego,0
31.11,San Diego,0
31.12,San Diego,0
31.13,San Diego,0
31.14,San Diego,0
31.15,San Diego,12.15
32.01,San Diego,2.03
32.02,San Diego,5.25
32.04,National City,70.25
32.07,Sweetwater,4
32.08,San Diego,0
32.09,San Diego,0
32.11,San Diego,0
32.12,San Diego,0
32.13,San Diego,1
32.14,Spring Valley,0
33.01,San Diego,2
33.03,San Diego,7
33.04,San Diego,3
33.05,San Diego,9.75
34.01,San Diego,35.31
34.03,San Diego,6.03
34.04,San Diego,1
35.01,San Diego,6.81
35.02,San Diego,2
36.01,San Diego,11.09
36.02,San Diego,0
36.03,San Diego,3.03
38,San Diego,0
39.01,San Diego,2
39.02,San Diego,2.03
40,San Diego,1
41,San Diego,25.84
42,San Diego,0
43,San Diego,1
44,San Diego,7.03
45.01,San Diego,5.06
46,San Diego,38.65
47,San Diego,30.28
48,San Diego,6.53
49,San Diego,19.5
50,San Diego,50.83
51,San Diego,434.65
52,San Diego,158.37
53,San Diego,194.75
54,San Diego,123.75
55,San Diego,0
56,San Diego,68.78
57,San Diego,22.5
58,San Diego,45.53
59,San Diego,15.75
60,San Diego,7
61,San Diego,0
62,San Diego,2.03
63,San Diego,6.03
65,San Diego,0
66,San Diego,8
68.01,San Diego,0
68.02,San Diego,7.06
69,San Diego,0
70.02,San Diego,0
71,San Diego,4.03
72,San Diego,18.27
73.01,San Diego,5
73.02,San Diego,0
74,San Diego,37.51
75.01,San Diego,0
75.02,San Diego,40.3
76,San Diego,28.62
77.01,San Diego,4
77.02,San Diego,9.12
78,San Diego,2
79.03,San Diego,12.09
79.05,San Diego,33.27
79.08,San Diego,10.03
79.07,San Diego,5
79.1,San Diego,13
80.02,San Diego,0
80.03,San Diego,2
80.06,San Diego,0
81.01,San Diego,2.03
81.02,San Diego,0
82,San Diego,3
83.01,San Diego,4.06
83.03,San Diego,0
83.05,San Diego,15.21
83.06,San Diego,0
83.07,San Diego,8.09
83.1,San Diego,0
83.11,San Diego,0
83.12,San Diego,1
83.13,San Diego,0
83.24,San Diego,3.78
83.27,Encinitas,1.75
83.28,Encinitas,4.06
83.29,Encinitas,4.06
83.3,Encinitas,0
83.31,Encinitas,0
83.33,San Diego,0
83.35,San Diego,0
83.36,San Diego,0
83.37,San Diego,0
83.39,San Diego,1
83.4,San Diego,0
83.41,San Diego,0
83.43,San Diego,3.03
